input,label,output
The BP Oil rig exploded causing many marine mammals to die. This illustrates that the BP oil rig was bad and caused animals to die.,2,circular reasoning
"People who don't support the proposed state minimum wage increase must hate the poor so much.

Which logical fallacy is used in the statement above?",8,fallacy of extension
"Her arguments against the protest were weak. After all, she can't be fair; she works for the government.",6,ad hominem
"Every time I wash my car, it rains the next day. My car washing definitely affects the weather.",1,false causality
I met a rude person from France yesterday. I guess all French people are rude.,0,faulty generalization
Get Verizon--1 billion people can't be wrong.,3,ad populum
"The medicine man rolled into town on his bandwagon offering various natural remedies, such as very special plain water. He said that it was only natural that people should be wary of 'artificial' medicines such as antibiotics.",9,fallacy of credibility
"Yes, we have safety issues in our factory. But we work really hard to make a good product. They sell so well!",5,fallacy of relevance
", or a group of people think, in order to persuade one to think the same way.",3,ad populum
You are not a credible resource person. You haven't finished college.,6,ad hominem
You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,6,ad hominem
"Holly said that vaccinations caused autism in children, but her scientifically well-read friend Caleb said that this claim had been debunked and proven false. Their friend Alice offered a compromise that vaccinations must cause some autism, just not all autism.",5,fallacy of relevance
"Joe and Sam are at the race track betting on horses. Joe: You see that horse over there? He lost his last four races. I'm going to bet on him.
Sam: Why? I think he will probably lose.
Joe: No way, Sam. I looked up the horse's stats and he has won half his races in the past two years. Since he has lost three of his last four races, he'll have to win this race. So I'm betting the farm on him.
Sam: Are you sure?
Joe: Of course I'm sure. That pony is due, man...he's due!",3,ad populum
"Donald Trump Jr. Tweeted:
If I had a bowl of skittles and I told you just three would kill you. Would you take a handful? That's our Syrian refugee problem.",0,faulty generalization
My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren't the cause of obesity.,0,faulty generalization
We know the virus started in a lab because it's too deadly to have just been the result of basic circumstance. But it hasn't been as deadly for China which proves that it's lab-made. Because it's deadly.,2,circular reasoning
"The government is convinced that it was a bomb that brought down the aircraft. “Our countrymen believe it was a bomb,” said the president. “A survey done a few days after the crash indicates that almost seventy percent of the people believe it was a terrorist's bomb.”",0,faulty generalization
"A father talking to his daughter on dating a boyfriend he doesn't like says, “If you continue dating this guy who doesn't take his education seriously, you'll end up dropping out of school, you then won't be able to get a job, and you will get married too young.”",0,faulty generalization
"The economy grows as the number of likes on my Instagram account continue to increase. Clearly, the two are linked.",1,false causality
SM 2: book being popular because it has been on the best-seller list for months,3,ad populum
Check out the pretty lights.  Don't look behind the curtain.,5,fallacy of relevance
Compares minor problems with much more serious crimes,5,fallacy of relevance
very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,1,false causality
"If you don't like Lady Gaga, it's because you hate women.",8,fallacy of extension
"No one has ever been able to prove that extraterrestrials exist, so they must not be real.",10,intentional fallacy
"Conclude that because A happens then B, C, D, E, F, G, H, I, J, K, L… will inevitably happen.",0,faulty generalization
"How could you not believe in ghosts? Roughly two billon people believe in them, so don't you think you should reconsider your opinion?",3,ad populum
